onset	duration	trial_type	stim_file	mainLanguage	foreignLanguage	identifier
0.0	12.0	fix	n/a	French	Spanish	aliceloc
12.0	12.0	fix	n/a	French	Spanish	aliceloc
24.0	18.142366168707703	foreignDegraded	aliceloc_nebula101/Spanish/foreignDegraded/13_degraded.wav	French	Spanish	aliceloc
42.1423661687077	18.0059770188209	intact	aliceloc_nebula101/French/intact/18_intact.wav	French	Spanish	aliceloc
60.1483431875286	17.980186155894394	degraded	aliceloc_nebula101/French/degraded/13_degraded.wav	French	Spanish	aliceloc
78.128529343423	18.005993544558805	foreign	aliceloc_nebula101/Spanish/foreign/14_intact.wav	French	Spanish	aliceloc
96.1345228879818	18.0060561379822	foreign	aliceloc_nebula101/Spanish/foreign/4_intact.wav	French	Spanish	aliceloc
114.140579025964	18.005864801132986	degraded	aliceloc_nebula101/French/degraded/23_degraded.wav	French	Spanish	aliceloc
132.146443827097	18.005989147506	intact	aliceloc_nebula101/French/intact/4_intact.wav	French	Spanish	aliceloc
150.152432974603	17.847567025397012	foreignDegraded	aliceloc_nebula101/Spanish/foreignDegraded/3_degraded.wav	French	Spanish	aliceloc
168.0	12.0	fix	n/a	French	Spanish	aliceloc
180.0	18.14253337902599	foreignDegraded	aliceloc_nebula101/Spanish/foreignDegraded/11_degraded.wav	French	Spanish	aliceloc
198.142533379026	18.005992971767995	intact	aliceloc_nebula101/French/intact/22_intact.wav	French	Spanish	aliceloc
216.148526350794	17.98023709784502	degraded	aliceloc_nebula101/French/degraded/21_degraded.wav	French	Spanish	aliceloc
234.128763448639	18.005893301133995	foreign	aliceloc_nebula101/Spanish/foreign/24_intact.wav	French	Spanish	aliceloc
252.134656749773	18.005936844557027	foreign	aliceloc_nebula101/Spanish/foreign/2_intact.wav	French	Spanish	aliceloc
270.14059359433	18.005964220295994	degraded	aliceloc_nebula101/French/degraded/15_degraded.wav	French	Spanish	aliceloc
288.146557814626	18.005997521767995	intact	aliceloc_nebula101/French/intact/20_intact.wav	French	Spanish	aliceloc
306.152555336394	17.847444663605984	foreignDegraded	aliceloc_nebula101/Spanish/foreignDegraded/15_degraded.wav	French	Spanish	aliceloc
324.0	12.0	fix	n/a	French	Spanish	aliceloc
336.0	12.0	fix	n/a	French	Spanish	aliceloc
