onset	duration	trial_type	stim_file	mainLanguage	foreignLanguage	identifier
0.0	12.0	fix	n/a	French	English	aliceloc
12.0	12.0	fix	n/a	French	English	aliceloc
24.0	18.143614298867803	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/20_degraded.wav	French	English	aliceloc
42.1436142988678	18.006012262241697	intact	aliceloc_nebula101/French/intact/3_intact.wav	French	English	aliceloc
60.1496265611095	17.9801497411608	degraded	aliceloc_nebula101/French/degraded/2_degraded.wav	French	English	aliceloc
78.1297763022703	18.005932193082103	foreign	aliceloc_nebula101/English/foreign/23_intact.wav	French	English	aliceloc
96.1357084953524	18.00596769308359	foreign	aliceloc_nebula101/English/foreign/11_intact.wav	French	English	aliceloc
114.141676188436	18.005840241610017	degraded	aliceloc_nebula101/French/degraded/18_degraded.wav	French	English	aliceloc
132.147516430046	18.006010646029978	intact	aliceloc_nebula101/French/intact/9_intact.wav	French	English	aliceloc
150.153527076076	17.84647292392401	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/4_degraded.wav	French	English	aliceloc
168.0	12.0	fix	n/a	French	English	aliceloc
180.0	18.152495149548	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/10_degraded.wav	French	English	aliceloc
198.152495149548	17.98025220737	intact	aliceloc_nebula101/French/intact/13_intact.wav	French	English	aliceloc
216.132747356918	18.005944144555997	degraded	aliceloc_nebula101/French/degraded/6_degraded.wav	French	English	aliceloc
234.138691501474	18.005908544557002	foreign	aliceloc_nebula101/English/foreign/5_intact.wav	French	English	aliceloc
252.144600046031	18.005941094560995	foreign	aliceloc_nebula101/English/foreign/7_intact.wav	French	English	aliceloc
270.150541140592	17.980186657369018	degraded	aliceloc_nebula101/French/degraded/12_degraded.wav	French	English	aliceloc
288.130727797961	18.005314944559984	intact	aliceloc_nebula101/French/intact/5_intact.wav	French	English	aliceloc
306.136042742521	17.863957257479	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/22_degraded.wav	French	English	aliceloc
324.0	12.0	fix	n/a	French	English	aliceloc
336.0	12.0	fix	n/a	French	English	aliceloc
